      Gas-to-liquids (GTL) plants,Gas-to-liquids (GTL) plants  (energy),EGTL
"      Own use in electricity, CHP and heat plants","Own use in electricity, CHP and heat plants (energy)",EPOWERPLT
      Pumped storage plants,Pumped storage plants (energy),EPUMPST
      Nuclear industry,Nuclear industry  (energy),ENUC
      Charcoal production plants,Charcoal production plants (energy),ECHARCOAL
      Non-specified (energy),Non-specified (energy),ENONSPEC
   Losses,Losses,DISTLOSS
   Total final consumption,Total final consumption,TFC
      Industry,Industry,TOTIND
         Mining and quarrying,Mining and quarrying,MINING
         Construction,Construction,CONSTRUC
         Manufacturing,Manufacturing,MANUFACT
            Iron and steel,Iron and steel,IRONSTL
            Chemical and petrochemical,Chemical and petrochemical,CHEMICAL
            Non-ferrous metals,Non-ferrous metals,NONFERR
            Non-metallic minerals,Non-metallic minerals,NONMET
            Transport equipment,Transport equipment,TRANSEQ
            Machinery,Machinery,MACHINE
            Food and tobacco,Food and tobacco,FOODPRO
"            Paper, pulp and printing","Paper, pulp and print",PAPERPRO
            Wood and wood products,Wood and wood products,WOODPRO
            Textile and leather,Textile and leather,TEXTILES
         Industry not elsewhere specified,Non-specified (industry),INONSPEC
      Transport,Transport,TOTTRANS
         World aviation bunkers,World aviation bunkers,WORLDAV
         Domestic aviation,Domestic aviation,DOMESAIR
         Road,Road,ROAD
         Rail,Rail,RAIL
         Pipeline transport,Pipeline transport,PIPELINE
         World marine bunkers,World marine bunkers,WORLDMAR
         Domestic navigation,Domestic navigation,DOMESNAV
         Transport not elsewhere specified,Non-specified (transport),TRNONSPE
,Other,
      Residential,Residential,RESIDENT
      Commercial and public services,Commercial and public services,COMMPUB
      Agriculture/forestry,Agriculture/forestry,AGRICULT
      Fishing,Fishing,FISHING
      Final consumption not elsewhere specified,Non-specified (other),ONONSPEC
      Non-energy use,Non-energy use,NONENUSE
         Non-energy use industry/transformation/energy,Non-energy use industry/transformation/energy,NEINTREN
            Memo: Non-energy use in industry,,NEIND
               Memo: Non-energy use in construction,,NECONSTRUC
               Memo: Non-energy use in mining and quarrying,,NEMINING
               Memo: Non-energy use in iron and steel,,NEIRONSTL
               Memo: Non-energy use in chemical/petrochemical,   Memo: Non-energy use chemical/petrochemical,NECHEM
               Memo: Non-energy use in non-ferrous metals,,NENONFERR
               Memo: Non-energy use in non-metallic minerals,,NENONMET
               Memo: Non-energy use in transport equipment,,NETRANSEQ
               Memo: Non-energy use in machinery,,NEMACHINE
               Memo: Non-energy use in food/beverages/tobacco,,NEFOODPRO
               Memo: Non-energy use in paper/pulp and printing,,NEPAPERPRO
               Memo: Non-energy use in wood and wood products,,NEWOODPRO
               Memo: Non-energy use in textiles and leather,,NETEXTILES
               Memo: Non-energy use in industry not elsewhere specified,,NEINONSPEC
         Non-energy use in transport,Non-energy use in transport,NETRANS
         Non-energy use in other,Non-energy use in other,NEOTHER
Electricity output (GWh),Electricity output (GWh),ELOUTPUT
   Electricity output (GWh)-main activity producer electricity plants,Electricity output (GWh)-main activity producer electricity plants,ELMAINE
   Electricity output (GWh)-autoproducer electricity plants,Electricity output (GWh)-autoproducer electricity plants,ELAUTOE
   Electricity output (GWh)-main activity producer CHP plants,Electricity output (GWh)-main activity producer CHP plants,ELMAINC
   Electricity output (GWh)-autoproducer CHP plants,Electricity output (GWh)-autoproducer CHP plants,ELAUTOC
Heat output,Heat output,HEATOUT
   Heat output-main activity producer CHP plants,Heat output-main activity producer CHP plants,HEMAINC
   Heat output-autoproducer CHP plants,Heat output-autoproducer CHP plants,HEAUTOC
   Heat output-main activity producer heat plants,Heat output-main activity producer heat plants,HEMAINH
   Heat output-autoproducer heat plants,Heat output-autoproducer heat plants,HEAUTOH
