Coal||||
Oil||||
Gas||||
Etransf||||
Elec||||
BTP|OCon|RStruc||
Inddemat|Soft|Other||
Airtransp||||
Watertransp||||
Othertransp||||
Agriculture||||
Indmat|IT|CT|TraEq|OMach
