Coal|coa|||||||||||||||||||||
Oil|oil|||||||||||||||||||||
Gas|gas_gdt|||||||||||||||||||||
Etransf|p_c|||||||||||||||||||||
Elec|ely|||||||||||||||||||||
BTP|cns|||||||||||||||||||||
Serv|ser|xxx||||||||||||||||||||||||
Airtransp|atp|||||||||||||||||||||
Watertransp|wtp|||||||||||||||||||||
Othertransp|otp||||||||||||||||||||||
Agri_Agriculture|agr|||||||||||||||||||||
Agri_Agroindustry|fpr|||||||||||||||||||||
Indus_chemical|crp|||||||||||||||||||||
Indus_nm_mineral|nmm|||||||||||||||||||||
Indus_ironsteel|i_s|||||||||||||||||||||
Indus_vehicle|teq|||||||||||||||||||||
Indus_equipment|ome|||||||||||||||||||||
Indus_otherHeavy|omn|lum|ppp|nfm||||||||||||||||||
Indus_otherLight|twl|other_indus||||||||||||||||||||
