COAL_OIL|ECO_ISIC2_2|ECO_ISIC3_C|ECO_ISIC4_B
ELEC_GAS|ECO_ISIC2_4|ECO_ISIC3_E|ECO_ISIC4_D
CONSTRUCTION|ECO_ISIC2_5|ECO_ISIC3_F|ECO_ISIC4_F
TRANSPORT|ECO_ISIC2_7|ECO_ISIC3_I|ECO_ISIC4_H
