//combi;ind_ssp_pop;ind_ssp_prod;ind_ssp_fin;ind_ssp_fossil;ind_ssp_EEI;ind_savings;ind_impacts
//indices should be in the first line, as used in the code, without space separated by a semi-column;;;;;;;
1000;1;1;1;1;1;2;0
1002;1;1;1;1;1;2;2
1610;1;1;1;1;1;1;0
1612;1;1;1;1;1;1;2
1630;1;1;1;1;1;3;0
1632;1;1;1;1;1;3;2
2000;2;2;2;2;2;2;0
2002;2;2;2;2;2;2;2
2610;2;2;2;2;2;1;0
2612;2;2;2;2;2;1;2
2630;2;2;2;2;2;3;0
2632;2;2;2;2;2;3;2
3000;3;3;3;3;3;2;0
3002;3;3;3;3;3;2;2
3610;3;3;3;3;3;1;0
3612;3;3;3;3;3;1;2
3630;3;3;3;3;3;3;0
3632;3;3;3;3;3;3;2
1100;1;2;2;2;2;2;0
1102;1;2;2;2;2;2;2
1110;2;1;1;1;1;2;0
1112;2;1;1;1;1;2;2
1200;2;1;2;2;2;2;0
1202;2;1;2;2;2;2;2
1210;1;2;1;1;1;2;0
1212;1;2;1;1;1;2;2
1300;2;2;1;2;2;2;0
1302;2;2;1;2;2;2;2
1310;1;1;2;1;1;2;0
1312;1;1;2;1;1;2;2
1400;2;2;2;1;2;2;0
1402;2;2;2;1;2;2;2
1410;1;1;1;2;1;2;0
1412;1;1;1;2;1;2;2
1500;2;2;2;2;1;2;0
1502;2;2;2;2;1;2;2
1510;1;1;1;1;2;2;0
1512;1;1;1;1;2;2;2
3100;3;2;2;2;2;2;0
3102;3;2;2;2;2;2;2
3110;2;3;3;3;3;2;0
3112;2;3;3;3;3;2;2
3200;2;3;2;2;2;2;0
3202;2;3;2;2;2;2;2
3210;3;2;3;3;3;2;0
3212;3;2;3;3;3;2;2
3300;2;2;3;2;2;2;0
3302;2;2;3;2;2;2;2
3310;3;3;2;3;3;2;0
3312;3;3;2;3;3;2;2
3400;2;2;2;3;2;2;0
3402;2;2;2;3;2;2;2
3410;3;3;3;2;3;2;0
3412;3;3;3;2;3;2;2
3500;2;2;2;2;3;2;0
3502;2;2;2;2;3;2;2
3510;3;3;3;3;2;2;0
3512;3;3;3;3;2;2;2
