//combi;ind_climat;ind_EEI;ind_CCS;ind_NUC;ind_ENR;ind_bioEnergy;ind_expectations;ind_polInfra;ind_recycl;ind_taxexo;inf_food;budget;ind_beccs;ind_cellulosicFuels;ind_hydrogen;ind_bioenerLimit;ind_develo_car;ind_NLU_sensit;ind_oscar
//indices should be in the first line, as used in the code, without space separated by a semi-column;;;;;;;;;;;;;;;;;
5993;2;0;1;1;1;1;0;0;0;9;3;0;1;1;1;0;0;0;0
5994;2;0;1;1;1;1;0;0;0;9;1;0;1;1;1;0;1;0;0
5995;2;0;1;1;1;1;0;0;0;9;2;0;1;1;1;0;1;0;0
5996;2;0;1;1;1;1;0;0;0;9;3;0;1;1;1;0;1;0;0
13991;2;0;1;1;1;1;0;0;0;11;1;0;1;1;1;0;0;0;0
13992;2;0;1;1;1;1;0;0;0;11;2;0;1;1;1;0;0;0;0
6013;2;0;1;1;1;1;0;0;0;12;0;1000;1;1;1;0;0;0;1
7013;2;0;1;1;1;1;0;0;0;12;0;1000;1;1;1;0;0;0;2
8013;2;0;1;1;1;1;0;0;0;12;0;1000;1;1;1;0;0;0;3
8006;2;0;1;1;1;1;0;0;0;12;0;1600;1;1;1;0;0;0;3
7006;2;0;1;1;1;1;0;0;0;12;0;1600;1;1;1;0;0;0;2
6006;2;0;1;1;1;1;0;0;0;12;0;1600;1;1;1;0;0;0;1
9006;2;0;1;1;1;1;0;0;0;12;0;1600;1;1;1;0;0;0;4
9013;2;0;1;1;1;1;0;0;0;12;0;1000;1;1;1;0;0;0;4
