//combi;ind_climat;ind_taxFinalLevel;ind_EEI;ind_CCS;ind_NUC;ind_ENR;ind_bioEnergy;ind_expectations;ind_polInfra;ind_recycl
//indices should be in the first line, as used in the code, without space separated by a semi-column;;;;;;;;;;;;;;;;;
1;0;0;0;1;1;1;1;0;0;0
2;0;0;0;1;1;1;1;1;0;0
3;0;0;0;1;1;1;1;0;1;0
4;0;0;0;1;1;1;1;0;0;1
5;0;0;0;1;1;1;1;1;1;1
6;2;1;0;1;1;1;1;0;0;0
7;2;1;0;1;1;1;1;1;0;0
8;2;1;0;1;1;1;1;0;1;0
9;2;1;0;1;1;1;1;0;0;1
10;2;1;0;1;1;1;1;1;1;1
11;2;2;0;1;1;1;1;0;0;0
12;2;2;0;1;1;1;1;1;0;0
13;2;2;0;1;1;1;1;0;1;0
14;2;2;0;1;1;1;1;0;0;1
15;2;2;0;1;1;1;1;1;1;1
16;2;3;0;1;1;1;1;0;0;0
17;2;3;0;1;1;1;1;1;0;0
18;2;3;0;1;1;1;1;0;1;0
19;2;3;0;1;1;1;1;0;0;1
20;2;3;0;1;1;1;1;1;1;1
21;2;4;0;1;1;1;1;0;0;0
22;2;4;0;1;1;1;1;1;0;0
23;2;4;0;1;1;1;1;0;1;0
24;2;4;0;1;1;1;1;0;0;1
25;2;4;0;1;1;1;1;1;1;1
101;550;0;0;1;1;1;1;0;0;0
102;550;0;0;1;1;1;1;1;0;0
103;550;0;0;1;1;1;1;0;1;0
104;550;0;0;1;1;1;1;0;0;1
105;550;0;0;1;1;1;1;0;1;1
106;550;0;0;1;1;1;1;1;1;1
107;450;0;0;1;1;1;1;0;0;0
108;450;0;0;1;1;1;1;1;0;0
109;450;0;0;1;1;1;1;0;1;0
110;450;0;0;1;1;1;1;0;0;1
111;450;0;0;1;1;1;1;0;1;1
112;450;0;0;1;1;1;1;1;1;1
113;0;0;0;1;1;1;1;0;1;1
114;550;0;0;1;1;1;1;0;0;2
115;550;0;0;1;1;1;1;1;1;2
116;450;0;0;1;1;1;1;0;0;2
117;450;0;0;1;1;1;1;1;1;2
