1|NoPolicy_Default
11|SUP_NPi_Default
1011|NAV_Dem-NPi-ref
1012|NAV_Dem-NPi-act
1013|NAV_Dem-NPi-tec
1014|NAV_Dem-NPi-ele
1015|NAV_Dem-NPi-all
4001|NAV_Dem-20C-ref
4002|NAV_Dem-20C-act_u
4003|NAV_Dem-20C-tec_u
4004|NAV_Dem-20C-ele_u
4005|NAV_Dem-20C-all_u
4006|SUP_2C_Default
4015|SUP_2C_Regional
4007|SUP_1p5C_Regional
4008|SUP_1p5C_Default
4016|SUP_1p5C_Elec
4009|SUP_1p5C_Elec_LimNuc
4010|SUP_1p5C_Elec_LimCCS
4011|SUP_1p5C_Elec_HighVRE
4017|SUP_2C_Elec
4018|SUP_2C_Elec_LimNuc
4019|SUP_2C_Elec_LimCCS
4020|SUP_2C_Elec_HighVRE
4013|SUP_2C_Lab
4014|SUP_1p5C_Lab
4021|SUP_2C_Prod
4022|SUP_1p5C_Prod
4023|SUP_2C_Lump
4024|SUP_1p5C_Lump
4101|NAV_Dem-15C-ref
4102|NAV_Dem-15C-act_u
4103|NAV_Dem-15C-tec_u
4104|NAV_Dem-15C-ele_u
4105|NAV_Dem-15C-all_u
4120|PEP-2C-AllOff
4121|PEP-2C-VRE
4122|PEP-2C-Elec
4123|PEP-2C-HighTech
4124|PEP-2C-Land
4125|PEP-2C-DemEffEn
4126|PEP-2C-DemSuffEn
4127|PEP-2C-DemLand
4128|PEP-2C-AllOn
6201|PEP-2C-Default
6202|PEP-2C-LowCE
6203|PEP-2C-AdvPE
6204|PEP-2C-AllEn
6205|PEP-2C-AllEnL
6101|PC-15C-Default
6102|PC-15C-LowCE
6103|PC-15C-AdvPE
6104|PC-15C-AllEn
6301|PC-15C-Default
6302|PC-15C-LowCE
6303|PC-15C-AdvPE
6304|PC-15C-AllEn
