//Year;BAU;550;450;450alt;450alt2;550alt1;550alt2;450alt3;450alt4;450alt5;550alt3 – no 2050 constraint;450alt6 – no 2050 constraint
2001;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202
2002;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604
2003;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183
2004;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545
2005;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949
2006;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737
2007;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596
2008;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938
2009;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086
2010;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229
2011;35.328022;34.5308891579;34.5308891579;34.017229;34.527487435;34.274059079;34.7877192369;34.017229;34.017229;34.017229;34.017229;34.017229
2012;36.545775;35.0445493158;35.0445493158;33.7886332211;34.867659725;34.5289789352;35.5639401419;33.7886332211;33.9029311106;33.6743353317;35.03774587;35.03774587
2013;37.557906;35.5616111966;35.5616111966;33.5600374422;35.03774587;34.7837064055;36.3510279261;33.5600374422;33.788246582;33.3326015807;35.9136895167;35.9136895167
2014;38.440661;36.0752713545;36.0752713545;33.3314416634;35.03774587;35.0349183658;37.1386219403;33.3314416634;33.6731714639;32.9920316976;36.6319633071;36.6319633071
2015;39.25818;36.5889315124;36.0752713545;33.1028458845;34.69757358;35.2843418771;37.9318230596;33.1028458845;33.5577017381;32.6526296732;37.1814427567;37.1814427567
2016;39.984232;36.39843503;35.8466755756;32.8742501056;34.017229;35.0087854697;37.773832573;32.8742501056;33.2100964751;32.4722402689;37.5532571843;37.5532571843
2017;40.649078;36.2079385476;35.6180797967;32.1353958917;33.234832733;34.7339501445;37.6156767133;32.1353958917;32.0904928502;31.8883850879;37.7410234701;37.7410234701
2018;41.253689;36.0174420652;35.3894840179;31.4006237453;32.452436466;34.4598377984;37.4573544363;31.4006237453;30.9898746849;31.3050856698;37.7410234701;37.7410234701
2019;41.813333;35.8269455828;35.160888239;30.6617695314;31.670040199;34.1864503432;37.2988646857;30.6617695314;29.8960907039;30.7158007014;37.7410234701;37.7410234701
2020;42.323234;35.6364491004;34.9322924601;29.9229153176;30.887643932;33.9137897062;37.1402063931;29.9229153176;28.8154851355;30.1236757425;37.7032824467;37.6278003997
2021;42.801928;35.0207372555;34.1934382462;29.1881431712;30.105247665;33.0348670349;36.6268518794;29.1881431712;27.7541171686;29.5319142073;37.6278758818;37.4020335973
2022;43.278794;34.4084271335;33.4586660998;28.2696779882;29.322851398;32.1684839266;36.1145384582;28.2696779882;26.4441062771;28.7884880886;37.5149922542;37.065415295
2023;43.774518;33.7927152886;32.7198118859;27.3512128052;28.540455131;31.3050392024;35.597545362;27.3512128052;25.1553761266;28.0402312746;37.3649322851;36.6206303114
2024;44.300711;33.1770034437;31.9809576721;26.4327476222;27.758058864;30.449460569;35.0786683166;26.4327476222;23.8882840253;27.2869491051;37.1781076238;36.0713208567
2025;44.869747;32.5646933217;31.2461855257;25.5142824392;26.975662597;29.6065041091;34.5607427309;25.5142824392;22.6432059045;26.5284320395;36.955038978;35.4220370813
2026;45.48079;31.8537332356;29.9848266743;24.5958172562;26.19326633;28.6369398097;33.9571120838;24.5958172562;21.4205379946;25.7644539423;36.6963537051;34.6781743026
2027;46.099876;31.1461748724;28.7275498905;23.6773520732;25.410870063;27.6827829087;33.3536879648;23.6773520732;20.2206987205;24.9947701002;36.4027828755;33.8458981194
2028;46.721021;30.4352147863;27.4661910392;22.7588868902;24.628473796;26.7349287757;32.7446079486;22.7588868902;19.0441308534;24.2191149164;36.0751578297;32.9320588701
2029;47.295907;29.7276564231;26.2089142553;21.8404217072;23.846077529;25.802627694;32.1356102105;21.8404217072;17.8913039678;23.437199213;35.7144062513;31.944097104
2030;47.879778;29.0200980599;24.9516374715;20.9219565242;23.063681262;24.8814216246;31.5237134788;20.9219565242;16.7627172587;22.6487070583;35.3215477825;30.8899418996
2031;48.446288;28.2921293593;23.6698682828;20.0034913412;22.281284995;24.4445165772;30.8120188104;20.0034913412;16.2476038414;21.7538651269;34.8623676613;29.7779039912
2032;49.074842;27.5641606587;22.3880990941;19.0850261582;21.498888728;24.0042390032;30.0984929209;19.0850261582;15.7253949566;20.8549145069;34.3394321464;28.6165657356
2033;49.725403;26.8361919581;21.1063299053;18.1665609752;20.716492461;23.5604731137;29.3830826115;18.1665609752;15.195646695;19.951637695;33.7556617999;27.4146699747
2034;50.349097;26.1082232575;19.8245607166;17.2480957922;19.934096194;23.1130958957;28.6657316531;17.2480957922;14.657863528;19.0437940953;33.0805485639;26.1810098258
2035;50.915432;25.3836562798;18.5468735954;16.3296306092;19.151699927;22.6640844823;27.9497419778;16.3296306092;14.1114892366;18.1311162069;32.3527764955;25.1810098258
2036;51.404825;24.7135168685;17.3344995538;15.4111654262;18.36930366;22.2452453976;27.2118568037;15.4111654262;13.5558956474;17.1113259028;31.5763098596;24.1810098258
2037;51.814193;24.0433774572;16.1221255123;14.4927002432;17.586907393;21.8229991016;26.4739716295;14.4927002432;12.9903684804;16.0915355987;30.7553258033;23.1810098258
2038;52.130198;23.3732380459;14.9097514707;13.5742350602;16.804511126;21.3972221384;25.7360864553;13.5742350602;12.4140893416;15.0717452946;29.8941766808;22.1810098258
2039;52.281982;22.7030986346;13.6973774291;12.6557698772;16.022114859;20.9677829108;24.9982012812;12.6557698772;11.8261124758;14.0519549905;28.9973513804;21.1810098258
2040;52.216748;22.0329592233;12.4850033876;11.7373046942;15.239718592;20.5345408875;24.260316107;11.7373046942;11.2253342643;13.0321646864;28.0694361362;20.1810098258
2041;52.311259;21.4036404868;11.3216141558;10.8188395112;14.457322325;20.1239768849;23.463437575;10.8188395112;10.6104524605;11.8594058366;27.1150753076;19.1810098258
