//combi;ind_climat;ind_clim_refForBau;ind_productivity_st;ind_catchup;ind_productivity;ind_impacts;ind_pop;ind_develo;ind_EEI;ind_clim_sensi;ind_lctechno;ind_altern;ind_charbo;ind_techno;ind_trade;ind_K;ind_labour;ind_trade_agri
//;; ;;;;;;;;;;;;;;;;
1;0;1;0;2;2;0;2;1;5;1;2;2;3;1;0;0;0;0
2;0;1;1;2;4;0;1;1;3;1;6;4;1;1;0;0;0;0
3;0;1;2;2;3;0;3;1;5;1;1;0;5;1;0;0;0;0
4;0;1;1;2;2;0;2;1;5;1;2;2;3;1;0;0;0;0
5;0;1;2;2;2;0;2;1;5;1;2;2;3;1;0;0;0;0
6;0;1;0;2;4;0;1;1;3;1;6;4;1;1;0;0;0;0
7;0;1;0;2;3;0;3;1;5;1;1;0;5;1;0;0;0;0
8;0;1;0;2;2;1;2;1;5;1;2;2;3;1;0;0;0;0
15;0;1;1;2;4;1;1;1;3;1;6;4;1;1;0;0;0;0
10;0;1;2;2;3;1;3;1;5;1;1;0;5;1;0;0;0;0
11;0;1;1;2;2;1;2;1;5;1;2;2;3;1;0;0;0;0
12;0;1;2;2;2;1;2;1;5;1;2;2;3;1;0;0;0;0
13;0;1;0;2;4;1;1;1;3;1;6;4;1;1;0;0;0;0
14;0;1;0;2;3;1;3;1;5;1;1;0;5;1;0;0;0;0
