//combi;ind_climat;ind_clim_refForBau;ind_NUC;ind_ENR;ind_bioEnergy;ind_expectations;pol_infra;ind_recycl;ind_sufficiency;ind_efficiency;ind_fuelswitching;ind_electrification_indu;ind_lindhal;ind_lim_nuke;ind_limCCS_InjRate;ind_high_VRE;indice_LED;ind_impacts;ind_coalpolicies
//indices should be in the first line; as used in the code; without space separated by a semi-column;;;;;;;;;;;;;;;;;
4102;8;1;1;1;1;0;1;3;1;0;0;1;0;0;0;0;0;0;0
4103;8;1;1;1;1;0;0;3;0;1;0;1;0;0;0;0;0;0;0
4104;8;1;1;1;1;0;0;3;0;0;1;1;0;0;0;0;0;0;0
4105;8;1;1;1;1;0;1;3;1;1;1;1;0;0;0;0;0;0;0
1101;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1102;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1103;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1104;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1440;4;2;1;1;1;3;0;0;0;0;1;1;0;0;1;1;0;0;0
1441;4;2;1;1;1;3;0;0;0;0;1;1;0;0;1;1;0;0;0
1442;12;2;1;1;1;3;0;0;0;0;1;1;0;0;1;1;0;0;0
1443;12;2;1;1;1;3;0;0;0;0;1;1;0;0;1;1;0;0;0
4006;8;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4007;8;1;1;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0
40077;8;1;1;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0
4015;8;1;1;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0
401515;8;1;1;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0
4008;8;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4016;8;1;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
4009;8;1;1;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0
4010;8;1;1;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0
4011;8;1;1;1;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0
4017;8;1;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
4018;8;1;1;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0
4019;8;1;1;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0
4020;8;1;1;1;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0
4013;8;1;1;1;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0
4014;8;1;1;1;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0
4021;8;1;1;1;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0
4022;8;1;1;1;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0
4023;8;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4024;8;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
